zip_code,infection_score
36301,5
35957,0
35631,0
36467,Not Available
35235,7
35968,Not Available
35007,0
35660,0
36360,Not Available
35960,Not Available
36116,0
36106,0
36801,0
35249,2
36078,Not Available
35058,0
36420,Not Available
36207,Not Available
35801,5
35903,8
35570,Not Available
35555,Not Available
35901,7
36033,Not Available
36330,Not Available
36853,Not Available
36302,5
35205,0
35650,Not Available
35768,Not Available
36340,Not Available
36027,Not Available
36251,Not Available
36207,3
35611,Not Available
36535,1
35601,5
35594,Not Available
36617,0
35502,2
36608,5
36451,Not Available
35401,6
36092,Not Available
36426,Not Available
36532,0
35160,Not Available
35211,1
35243,0
36067,Not Available
36732,Not Available
36607,0
35022,10
36701,Not Available
36460,Not Available
35565,Not Available
36081,Not Available
36507,Not Available
35125,Not Available
35801,10
35209,0
36608,0
36265,Not Available
36401,Not Available
36117,4
36037,Not Available
35661,Not Available
35653,Not Available
35150,Not Available
36867,Not Available
36502,Not Available
99508,0
99645,Not Available
99801,Not Available
99701,Not Available
99508,Not Available
99669,Not Available
99508,0
85031,Not Available
85006,2
85712,1
86326,Not Available
85745,0
85711,1
86301,0
85364,0
85258,0
85122,4
85008,5
86002,1
85013,0
85015,2
85541,Not Available
85224,0
85006,0
85251,0
85635,10
86409,0
85351,4
85901,Not Available
85724,4
85202,7
85546,Not Available
86403,5
86045,Not Available
85016,Not Available
85032,Not Available
86503,Not Available
85741,0
85260,1
85206,2
85306,3
85258,0
85202,0
85308,0
86442,Not Available
85054,0
85206,Not Available
85206,Not Available
85395,8
85713,0
85225,Not Available
85755,Not Available
85037,7
86426,Not Available
86314,Not Available
85296,0
85295,Not Available
85209,10
85234,0
85258,Not Available
85140,Not Available
85008,Not Available
85120,Not Available
72761,Not Available
72830,Not Available
72703,0
72205,0
72758,10
72833,Not Available
72143,3
71953,Not Available
72205,4
72601,Not Available
72957,Not Available
72335,Not Available
72403,3
72764,10
71903,0
72653,0
72034,0
72117,7
72451,0
72801,0
71655,Not Available
72901,0
72903,6
71754,Not Available
72315,Not Available
71603,10
72160,Not Available
72076,Not Available
72104,Not Available
71901,0
72015,2
72342,Not Available
71731,10
72205,0
72401,0
72503,0
72211,Not Available
72120,Not Available
72118,Not Available
72703,Not Available
71801,Not Available
94545,1
95501,0
94010,0
95747,Not Available
94558,10
94574,Not Available
95642,Not Available
95819,1
90012,0
92501,0
92103,0
91942,0
95521,Not Available
95966,2
93301,3
95128,3
95926,0
91342,0
96080,Not Available
94609,3
92243,0
95747,0
92220,Not Available
94110,Not Available
93534,3
93291,3
91204,8
93721,0
90027,4
95361,Not Available
92868,5
94080,Not Available
95051,0
94596,5
94589,10
94611,4
94115,6
92103,2
90732,Not Available
93030,1
95204,0
92411,0
95476,Not Available
90255,Not Available
93720,0
91786,6
92123,3
94589,Not Available
92503,2
90033,5
90262,0
93454,5
95816,3
93436,Not Available
90404,7
94403,Not Available
92025,0
91325,10
95336,Not Available
93230,0
95203,0
91209,7
95116,1
91405,0
95695,Not Available
92404,4
94945,Not Available
91776,2
95901,7
94954,Not Available
91402,2
90027,2
90242,0
92335,5
93940,0
90015,0
95945,0
94109,Not Available
95128,Not Available
91436,Not Available
93003,5
95231,0
92835,0
90602,0
95405,1
95382,3
94598,8
93930,Not Available
90813,2
93654,Not Available
95076,Not Available
94538,1
94062,10
93552,0
94501,Not Available
91911,1
92663,7
95969,Not Available
92801,10
94110,5
92843,Not Available
91767,0
93401,Not Available
92118,Not Available
90504,0
93065,1
91006,5
91206,0
95065,6
92262,0
92324,3
93906,2
95667,0
93308,Not Available
93257,Not Available
90095,0
92373,5
94553,10
91346,7
92252,Not Available
96001,3
91801,0
94588,2
94015,0
90404,3
95403,Not Available
92555,0
93301,10
95023,Not Available
92311,Not Available
92307,3
95482,Not Available
94705,3
94040,7
95661,0
95376,Not Available
93306,0
94602,7
92037,0
92354,0
92882,10
93901,5
95370,Not Available
95240,3
92227,Not Available
92868,4
90640,0
90509,4
96150,Not Available
90503,1
93111,Not Available
93274,Not Available
94904,10
94533,0
90033,0
90509,1
95124,2
91723,0
92543,0
90241,0
93003,0
93105,8
94133,Not Available
90710,1
95630,Not Available
95531,Not Available
92225,Not Available
92037,3
95825,5
92804,0
91109,3
94305,0
95340,5
94143,4
93301,0
94117,10
95350,0
90247,0
90017,0
91307,10
90806,0
94546,0
93611,6
94520,0
95602,10
90057,1
92024,0
93405,0
94903,Not Available
94545,Not Available
92120,1
95608,8
92395,3
94509,4
92647,Not Available
93635,Not Available
92201,10
95616,Not Available
94063,10
92627,1
91360,0
90720,0
95355,0
90034,10
92691,2
93637,Not Available
92708,0
92270,3
90716,Not Available
90623,Not Available
90712,2
91710,Not Available
91773,Not Available
92870,Not Available
95823,0
91740,4
95817,0
92653,10
95119,10
93215,Not Available
92806,2
93010,Not Available
91355,10
90048,0
93465,Not Available
92064,Not Available
90023,Not Available
90023,3
95823,0
91367,0
92708,0
92585,Not Available
92505,7
95020,10
94583,Not Available
95403,10
90033,7
96001,Not Available
92562,0
91402,6
93710,Not Available
92395,0
93720,0
95065,Not Available
90242,1
91706,10
93308,Not Available
95355,Not Available
90804,6
90605,0
91754,Not Available
91754,0
91733,Not Available
90301,4
90292,Not Available
90036,0
92805,10
92869,Not Available
92705,1
92704,Not Available
95356,0
91403,4
92120,0
91763,Not Available
94531,0
91356,0
96001,2
92555,Not Available
92618,Not Available
92563,8
90650,Not Available
95661,10
94578,Not Available
92592,0
90806,4
94577,4
92354,5
80631,4
80501,0
80601,Not Available
81401,Not Available
81101,Not Available
80033,0
80524,4
80204,6
81004,3
81301,Not Available
80218,4
80228,7
81212,Not Available
81003,2
80909,0
81502,3
80045,8
80304,2
80218,8
80538,Not Available
80907,5
80220,4
80113,4
81050,Not Available
80701,Not Available
80487,Not Available
81505,Not Available
80210,0
80229,10
81601,Not Available
80751,Not Available
81657,Not Available
80012,2
80027,Not Available
80023,Not Available
80124,0
